Stage 1 of 3 (L): Inserted 18083 entries in 0.446768 seconds.
Stage 2 of 3 (B): Inserted 13503 entries in 35.1348 seconds.
Stage 3 of 3 (H): Inserted 10709 entries in 12.085 seconds.
"Saved Space","Number Of Duplicates","File Size","List of Names"
2972216,1,2972216,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_plugin;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_plugin
2965456,1,2965456,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/resolve_stack_dump;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/resolve_stack_dump
2961384,1,2961384,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/my_print_defaults;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/my_print_defaults
2961240,1,2961240,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/resolveip;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/resolveip
2961144,1,2961144,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_waitpid;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_waitpid
2939200,1,2939200,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/replace;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/replace
2924024,1,2924024,/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_tzinfo_to_sql;/usr/local/mysql-5.5.28-osx10.6-x86_64/bin/mysql_tzinfo_to_sql
2241976,1,2241976,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/sys_vars/r/max_binlog_cache_size_func.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/sys_vars/r/max_binlog_cache_size_func.result
2234682,1,2234682,/usr/local/boost_old/include/boost/typeof/vector200.hpp;/usr/local/boost/include/boost/typeof/vector200.hpp
2018706,3,672902,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_row_mixing_engines.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_non_direct_row_mixing_engines.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_row_mixing_engines.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/rpl/r/rpl_non_direct_row_mixing_engines.result
1581397,1,1581397,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/r/insert_calendar.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/engines/iuds/r/insert_calendar.result
1329414,1,1329414,/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_2_innodb.result;/usr/local/mysql-5.5.28-osx10.6-x86_64/mysql-test/suite/parts/r/partition_alter1_2_innodb.result
1308127,1,1308127,/usr/local/boost_old/include/boost/typeof/vector150.hpp;/usr/local/boost/include/boost/typeof/vector150.hpp
